obra_cod;obra_descricao;Marca;Regional;Carteira;VGV;Data
8083;MANDARIM - BELÉM;CYRELA;Norte;426217,7;188830934,6;30/04/2021
8086;JARDINS NOVO HIGIENÓPOLIS;CYRELA;Sul;12396,77;39548735,39;30/04/2021
8090;VIVAZ JOÃO DE LUCA;VIVAZ;São Paulo;12582197,03;12582197,03;30/04/2021
8093;NOVAMERICA - MICHIGAN RESIDENCE PARK;CYRELA;São Paulo;376106,49;242578292,1;30/04/2021
8101;ANDALUS;CYRELA;São Paulo;383996,73;383996,73;30/04/2021
8104;LIBER PARK CAMPO LIMPO;LIVING;São Paulo;5374,7;114922510,4;30/04/2021
8111;EUROVILLE;CYRELA;Norte;10087331,03;10252639,98;30/04/2021
8136;VITRINE UMARIZAL;CYRELA;Norte;1379479,1;76309203,95;30/04/2021
8174;APICE;CYRELA;São Paulo;55783,57;265142658;30/04/2021
8217;PENINSULA WAY - FASE I SL;CYRELA;Norte;1732601,92;155340365,4;30/04/2021
8218;ILE ST LOUIS - EIT 23;CYRELA;Norte;2112541,22;492695024,1;30/04/2021
8276;EDIFÍCIO VIVARE;LIVING;Sul;75191,8;1713651,7;30/04/2021
8283;CASAS DO BOSQUE;LIVING;Nordeste;8677,64;8677,64;30/04/2021
8289;ATMOSFERA BOSQUE DA SAÚDE;CYRELA;São Paulo;814045,55;814045,55;30/04/2021
8296;VIVAZ SANTA FÉ;VIVAZ;Sul;4497729,32;4497729,32;30/04/2021
8310;VIVAZ MARECHAL RONDOM;VIVAZ;Rio de Janeiro;2365755,19;2365755,19;30/04/2021
8312;CYRELA FOR YOU MOEMA;CYRELA;São Paulo;73990060,34;73990060,34;30/04/2021
8314;VIVAZ ESTACAO ITAQUERA 2;VIVAZ;São Paulo;15953681,06;15953681,06;30/04/2021
8324;UNIVERSE EMPRESARIAL - (DAÇÃO);CYRELA;Rio de Janeiro;155889,84;155889,84;30/04/2021
8353;VINTAGE CONDOMINIO CLUBE;LIVING;São Paulo;331526,99;331526,99;30/04/2021
8366;MAIS CAMPOS ELÍSEOS;LIVING;São Paulo;125044;47233025,09;30/04/2021
8395;LE PARC BOA VIAGEM;CYRELA;Nordeste;8082920,6;1359879068;30/04/2021
8401;LIVING ALTO DO IPIRANGA;LIVING;São Paulo;78491504,39;78491504,39;30/04/2021
8406;CYRELA BY PININFARINA;CYRELA;Sul;18642901,5;18642901,5;30/04/2021
8407;LIVE BANDEIRANTES ALL SUITES_Dação;LIVING;Rio de Janeiro;152688,78;152688,78;30/04/2021
8416;BRISAS BOSQUE ITIRAPINA;LIVING;São Paulo;358469,81;114898663,7;30/04/2021
8419;ARBORETTO GREEN LIFE;LIVING;Sul;111483,52;1071949,72;30/04/2021
8427;BURITIS CONDOMINIO CLUBE - FASE I;LIVING;ES;297145,8;160373360,2;30/04/2021
8440;MANDARA LANAI - FORTALEZA;CYRELA;Norte;2963769,27;400387235,4;30/04/2021
8449;TERRABELA ZONA SUL;LIVING;Sul;277490,19;4263199,53;30/04/2021
8472;TERRABELA PLANALTO;LIVING;Sul;467847,17;65624744;30/04/2021
