24,INC,"[500,5000]","[-43.18472999999999,-22.9332067]",Laranjeiras,Point,apartment,2020-02-20T03:18:27.747Z,"[20,150]",male,Enfermeiro,Enfermeiro
34,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T03:33:12.527Z,"[20,150]",male,,
29,C-APPS,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T11:15:38.138Z,"[20,150]",male,ITA,Dev
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T11:29:29.535Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T15:31:19.467Z,"[20,150]",,,
25,Teste,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T15:42:12.178Z,"[20,150]",male,Teste,Giulio
36,Code 200,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-01T06:04:48.810Z,"[20,150]",male,Ensino Médio,Programador
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-21T04:27:12.766Z,"[20,150]",,,
36,GRSA,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-21T12:03:34.120Z,"[20,150]",male,Univ,An
14,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-21T20:16:52.551Z,"[20,150]",male,,
18,X,"[600,3900]","[-46.6309716,-23.571487]",Aclimação,Point,apartment,2020-02-26T10:39:26.427Z,"[49,500]",female,X,X
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-22T17:50:07.220Z,"[20,150]",,,
20,Anônima,"[500,10000]","[-49.2647943,-16.68689119999999]",Goiânia,Point,apartment,2020-02-22T18:06:29.611Z,"[20,493]",female,UFG,Secretária
29,UFRN,"[500,1000]","[-46.6525766,-23.5520577]",Consolação,Point,apartment,2020-02-22T18:56:35.694Z,"[20,122]",female,Engenharia de plásticos - UNISOCIESC,Pesquisadora
39,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-23T03:09:58.511Z,"[20,150]",male,,Publicitário
21,Flatmatch,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-02T11:39:36.527Z,"[20,150]",male,FIAP,Developer
31,,"[500,2500]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-23T04:36:26.199Z,"[20,150]",male,,
20,Infinita store,"[500,600]","[-46.6669128,-23.6464109]",Vila Mascote,Point,apartment,2020-02-23T21:20:33.211Z,"[20,66]",female,Ensino médio compl,Vendedora
27,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-24T03:07:34.189Z,"[20,150]",male,,
23,Accalia.io,"[500,10000]","[-46.6346381,-23.589702]",Vila Mariana,Point,apartment,2020-02-24T18:01:30.163Z,"[20,150]",male,Sistema de informação/FTC,Desenvolvedor
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-24T17:56:53.582Z,"[20,150]",,,
21,Itaú,"[500,1500]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-25T18:02:14.612Z,"[20,150]",male,Análise e desenvolvimento de sistemas,Analista de engenharia de software
28,Indústria Química Anastacio,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-26T19:11:09.552Z,"[20,150]",female,Administração,Analista de Custos
28,Adesivos lumar,"[500,5000]","[-46.5793979,-23.7242412]",FEI University Center - Campus São Bernardo do Campo,Point,apartment,2020-02-27T03:18:47.965Z,"[20,150]",female,Fei,Analista de desenvolvimento
35,M. Taboca,"[500,1900]","[-46.8482951,-23.5013567]",Alphaville Industrial,Point,apartment,2020-02-27T03:23:51.748Z,"[20,150]",female,MBA em contabilidade e finanças,Analista Contábil
27,Riachuelo,"[500,2500]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-28T02:12:40.922Z,"[20,150]",female,Publicidade e propaganda/Anhembi Morumbi (trancado),Líder visual merchandising
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-27T14:55:19.788Z,"[20,150]",,,
27,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-28T05:55:12.341Z,"[20,150]",male,,Advogado
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-28T12:13:57.493Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-28T12:26:02.044Z,"[20,150]",,,
37,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-29T14:26:16.918Z,"[20,150]",male,,Produção tv  cinema
45,,"[500,5000]","[-46.63209670000001,-23.5406338]",Centro Histórico de São Paulo,Point,apartment,2020-03-02T14:19:52.069Z,"[40,272]",female,Artes visuais faaap,Restauradora
28,Kimberly-clark,"[500,2000]","[-46.6930699,-23.605464]",Engenheiro Luís Carlos Berrini Avenue,Point,apartment,2020-03-03T10:56:33.040Z,"[20,150]",female,Administração,Analista de RH
25,,"[500,5300]","[7.447446800000001,46.9479739]",Bern,Point,apartment,2020-03-03T12:03:53.881Z,"[20,233]",female,,
31,Dafiti,"[500,5000]","[-46.690828,-23.5152526]",Água Branca,Point,apartment,2020-03-03T16:58:21.622Z,"[20,150]",,Ciências da Computação PUCGO,Analista de Sistemas
